Name,Price,Description,Category
Knitted Cotton Socks,15.00,"A pair of socks hand-knitted from soft cotton.",Apparel
Stone Carved Coasters,22.00,"A set of four coasters carved from natural stone.",Kitchenware
Handwoven Wool Shawl,55.00,"A warm shawl handwoven from premium wool.",Apparel
Hand-Painted Ceramic Tiles,30.00,"A set of three decorative tiles hand-painted with intricate designs.",Home Decor
Leather Bookmark,8.00,"A bookmark hand-stitched from genuine leather.",Accessories
Fabric Handmade Notebook,20.00,"A notebook with a cover made from hand-stitched fabric.",Stationery
Wooden Carved Pendant,25.00,"A pendant made from hand-carved wood.",Jewelry
Embroidered Wall Hanging,50.00,"A large wall hanging with detailed hand embroidery.",Home Decor
Hand-Painted Glass Vase,38.00,"A decorative vase made from hand-painted glass.",Home Decor
Knitted Wool Scarf,35.00,"A warm scarf hand-knitted from soft wool.",Apparel
Handcrafted Wooden Pen,18.00,"A pen made from polished wood with hand-carved details.",Stationery
Clay Pottery Mug,15.00,"A unique mug sculpted from natural clay.",Kitchenware
Handwoven Jute Basket,22.00,"A basket woven from natural jute fibers.",Home Decor
Beaded Necklace,28.00,"A necklace made from hand-strung beads.",Jewelry
Hand-Painted Porcelain Bowl,32.00,"A bowl made from hand-painted porcelain.",Kitchenware
Fabric Quilted Throw,45.00,"A quilted throw made from hand-stitched fabric.",Home Decor
Wooden Hand-Carved Coasters,25.00,"A set of four coasters made from hand-carved wood.",Kitchenware
Embroidered Cotton Table Runner,35.00,"A table runner with intricate hand embroidery.",Home Decor
Handcrafted Ceramic Planter,30.00,"A planter made from hand-painted ceramic.",Home Decor
Knitted Woolen Mittens,20.00,"A pair of mittens hand-knitted from soft wool.",Apparel
Leather Hand-Stitched Belt,40.00,"A durable belt hand-stitched from genuine leather.",Apparel
Hand-Painted Glass Ornaments,28.00,"A set of three glass ornaments with hand-painted designs.",Home Decor
Woven Bamboo Placemat,15.00,"A placemat woven from natural bamboo fibers.",Kitchenware
Beaded Bracelet,18.00,"A bracelet made from hand-strung beads.",Jewelry
Handcrafted Wooden Tray,35.00,"A tray made from polished wood with hand-carved details.",Kitchenware
Clay Sculpted Figurine,25.00,"A small figurine sculpted from natural clay.",Home Decor
Embroidered Fabric Bookmark,10.00,"A bookmark made from fabric with hand embroidery.",Accessories
Leather Handmade Pouch,25.00,"A small pouch hand-stitched from leather.",Accessories
Hand-Painted Ceramic Dish,28.00,"A dish made from hand-painted ceramic.",Kitchenware
Knitted Cotton Blanket,55.00,"A cozy blanket hand-knitted from soft cotton.",Home Decor
Handwoven Wool Rug,65.00,"A rug handwoven from premium wool.",Home Decor
Glass Bead Earrings,15.00,"A pair of earrings made from hand-strung glass beads.",Jewelry
Wooden Carved Mask,45.00,"A decorative mask made from hand-carved wood.",Home Decor
Embroidered Silk Tablecloth,55.00,"A tablecloth with intricate silk embroidery.",Home Decor
Clay Pottery Candle Holder,20.00,"A candle holder sculpted from natural clay.",Home Decor
Hand-Painted Wooden Ornament,15.00,"A wooden ornament with hand-painted designs.",Home Decor
Fabric Patchwork Pillow,25.00,"A pillow made from hand-stitched fabric patches.",Home Decor
Leather Handcrafted Wallet,35.00,"A wallet hand-stitched from genuine leather.",Accessories
Stone Carved Trinket Box,30.00,"A trinket box carved from natural stone.",Home Decor
Knitted Woolen Socks,18.00,"A pair of socks hand-knitted from soft wool.",Apparel
Handwoven Cotton Blanket,50.00,"A blanket handwoven from 100% cotton.",Home Decor
Beaded Anklet,20.00,"An anklet made from hand-strung beads.",Jewelry
Hand-Painted Ceramic Figurine,35.00,"A figurine made from hand-painted ceramic.",Home Decor
Wooden Hand-Carved Jewelry Box,40.00,"A jewelry box made from polished wood with hand-carved details.",Home Decor
Embroidered Cotton Napkins,25.00,"A set of four napkins with intricate hand embroidery.",Kitchenware
Leather Handmade Journal,45.00,"A journal hand-stitched from leather with high-quality paper.",Stationery
Handcrafted Ceramic Bowl,28.00,"A bowl made from hand-painted ceramic.",Kitchenware
Knitted Woolen Hat,22.00,"A hat hand-knitted from soft wool.",Apparel
Handwoven Bamboo Basket,30.00,"A basket woven from natural bamboo fibers.",Home Decor
Beaded Necklace and Bracelet Set,40.00,"A matching set of necklace and bracelet made from hand-strung beads.",Jewelry
